,room_type,accommodates,bedrooms,beds,host_response_rate,latitude,longitude,number_of_reviews,review_scores_rating,bath_size,bath_type,price_log
1693,Entire home/apt,2,1.0,1.0,100,13.75429,100.56751,12,5.0,1.0,bath,6.551080335043404
1694,Hotel room,4,1.0,4.0,0,13.75067,100.54659,3,4.33,1.0,private bath,8.687610843707368
1695,Private room,2,1.0,2.0,0,13.7538,100.53165,0,0.0,2.0,bath,8.149890544402423
1696,Entire home/apt,2,1.0,1.0,100,13.69985,100.52592,86,4.4,1.0,bath,6.212606095751519
1697,Private room,2,1.0,1.0,0,13.68534,100.60358,0,0.0,1.0,bath,7.003065458786462
1698,Entire home/apt,2,1.0,1.0,60,13.74095,100.5574,31,4.77,1.0,bath,7.377133712833954
1699,Private room,1,1.0,1.0,80,13.73018,100.58151,26,4.58,1.0,bath,6.345636360828596
1700,Hotel room,2,1.0,1.0,0,13.71851,100.49989,0,0.0,1.0,private bath,8.496990484098719
1701,Private room,2,1.0,1.0,100,13.71308,100.59365,1,5.0,1.0,bath,7.035268599281097
1702,Private room,2,1.0,1.0,100,13.70067978,100.5936584,0,0.0,1.0,bath,6.862757913051401
1703,Hotel room,2,1.0,2.0,80,13.7903,100.54963,46,4.67,1.0,private bath,6.745236349484363
1704,Entire home/apt,2,1.0,1.0,99,13.72538,100.53183,85,4.27,1.0,bath,6.97354301952014
1705,Entire home/apt,2,1.0,1.0,80,13.82792,100.52795,76,4.48,1.0,bath,6.490723534502507
1706,Entire home/apt,2,1.0,1.0,100,13.66141,100.6106,0,0.0,1.5,bath,6.639875833826536
1707,Entire home/apt,2,1.0,1.0,90,13.72336,100.57925,36,4.67,1.0,bath,7.696212639346407
1708,Entire home/apt,2,1.0,1.0,0,13.74417,100.56354,0,0.0,1.0,bath,7.003065458786462
1709,Entire home/apt,2,1.0,1.0,100,13.75074,100.53715,0,0.0,1.0,bath,6.396929655216146
1710,Private room,1,1.0,1.0,0,13.71204,100.46914,1,0.0,1.0,private bath,7.002155954403621
1711,Entire home/apt,3,2.0,2.0,100,13.67746,100.6076,5,4.8,2.0,bath,6.80128303447162
1712,Entire home/apt,6,2.0,2.0,0,13.74373,100.58517,0,0.0,2.0,bath,7.313220387090301
1713,Entire home/apt,1,1.0,1.0,0,13.77077,100.57118,1,0.0,1.0,bath,6.7912214627261855
1714,Private room,3,1.0,1.0,0,13.74747,100.56844,0,0.0,1.0,bath,7.090076835776092
